Magma V2.28-23    Thu Jul  3 2025 17:17:15 on cecm-gaby [Seed = 3251546197]
Type ? for help.  Type <Ctrl>-D to quit.
Loading "gl2data.txt"
Loading "curvelist1.txt"
Group # 237, Level 16 (reducible) 
Group # 238, Level 32 (reducible) 
Group # 239, Level 32 (reducible) 
Group # 240, Level 32 (reducible) 
Group # 241, Level 32 (reducible) 
Group # 242, Level 32 (reducible) 
Group # 243, Level 32 (reducible) 
Group # 281, Level 16 (reducible) 
Group # 284, Level 16 (reducible) 
Group # 288, Level 16 (reducible) 
Group # 289, Level 16 (reducible) 
Group # 291, Level 16 (reducible) 
Group # 295, Level 16 (reducible) 
Group # 297, Level 16 (reducible) 
Group # 302, Level 16 (reducible) 
Group # 304, Level 16 (reducible) 
Group # 308, Level 16 (reducible) 
Group # 309, Level 16 (reducible) 
Group # 312, Level 16 (reducible) 
Group # 318, Level 16 (reducible) 
Group # 320, Level 16 (reducible) 
Group # 323, Level 16 (reducible) 
Group # 324, Level 16 (reducible) 
Group # 326, Level 16 (reducible) 
Group # 328, Level 16 (reducible) 
Group # 349, Level 16 (reducible) 
Group # 350, Level 16 (reducible) 
Group # 441, Level 16 (genus >= 2) 
Group # 556, Level 16 (genus >= 2) 
Group # 558, Level 16 (genus >= 2) 
Group # 563, Level 16 (genus >= 2) 
Group # 566, Level 16 (genus >= 2) 
Group # 619, Level 32 (genus >= 2) 
Group # 649, Level 32 (genus >= 2) 

Total time: 1.339 seconds, Total memory usage: 64.12MB
